CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Parent_Org_ONS_Code,Org_Code,Org_Name,Org_ONS_Code,Expected_delivery_time,Indicator,Unit,Value,Data_Notes
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Two to three weeks,Letters_sent_LA,%,0.04700720777185,
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Within two weeks,Letters_sent_LA,Number,12758,
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Within two weeks,Letters_sent_LA,%,99.9529927922281,
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00CK,North Tyneside,E08000022,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Over three weeks,Letters_sent_LA,Number,3,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Over three weeks,Letters_sent_REGION,Number,120,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Over three weeks,Letters_sent_LA,%,0.03399818676336,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Over three weeks,Letters_sent_REGION,%,0.07943232366024,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Two to three weeks,Letters_sent_LA,Number,1,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Two to three weeks,Letters_sent_REGION,Number,713,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Two to three weeks,Letters_sent_LA,%,0.01133272892112,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Within two weeks,Letters_sent_LA,Number,8820,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Within two weeks,Letters_sent_LA,%,99.9546690843155,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00CL,South Tyneside,E08000023,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Over three weeks,Letters_sent_LA,Number,4,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Over three weeks,Letters_sent_REGION,Number,120,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Over three weeks,Letters_sent_LA,%,0.02320858717725,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Over three weeks,Letters_sent_REGION,%,0.07943232366024,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Two to three weeks,Letters_sent_LA,Number,107,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Two to three weeks,Letters_sent_REGION,Number,713,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Two to three weeks,Letters_sent_LA,%,0.62082970699158,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Within two weeks,Letters_sent_LA,Number,17124,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Within two weeks,Letters_sent_LA,%,99.3559617058311,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00CM,Sunderland,E08000024,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Over three weeks,Letters_sent_LA,Number,2,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Over three weeks,Letters_sent_REGION,Number,120,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Over three weeks,Letters_sent_LA,%,0.03823360734085,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Over three weeks,Letters_sent_REGION,%,0.07943232366024,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Two to three weeks,Letters_sent_LA,Number,37,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Two to three weeks,Letters_sent_REGION,Number,713,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Two to three weeks,Letters_sent_LA,%,0.70732173580577,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
