Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Unit,Indicator,Value
9,2019-20,A,North East,Number,EDD_IN_15_TO_21_DAYS_25to64,19106
9,2019-20,A,North East,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,54942
9,2019-20,A,North East,Number,EDD_WITHIN_14_DAYS_25to64,76654
9,2019-20,B,North West,Number,EDD_IN_15_TO_21_DAYS_25to64,114560
9,2019-20,B,North West,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,98035
9,2019-20,B,North West,Number,EDD_WITHIN_14_DAYS_25to64,198185
9,2019-20,D,Yorkshire and the Humber,Number,EDD_IN_15_TO_21_DAYS_25to64,12214
9,2019-20,D,Yorkshire and the Humber,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,129979
9,2019-20,D,Yorkshire and the Humber,Number,EDD_WITHIN_14_DAYS_25to64,166711
9,2019-20,E,East Midlands,Number,EDD_IN_15_TO_21_DAYS_25to64,88816
9,2019-20,E,East Midlands,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,158922
9,2019-20,E,East Midlands,Number,EDD_WITHIN_14_DAYS_25to64,26771
9,2019-20,ENG,England,Number,EDD_IN_15_TO_21_DAYS_25to64,544477
9,2019-20,ENG,England,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1307801
9,2019-20,ENG,England,Number,EDD_WITHIN_14_DAYS_25to64,1454461
9,2019-20,F,West Midlands,Number,EDD_IN_15_TO_21_DAYS_25to64,48917
9,2019-20,F,West Midlands,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,226777
9,2019-20,F,West Midlands,Number,EDD_WITHIN_14_DAYS_25to64,48604
9,2019-20,G,East of England,Number,EDD_IN_15_TO_21_DAYS_25to64,29221
9,2019-20,G,East of England,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,112077
9,2019-20,G,East of England,Number,EDD_WITHIN_14_DAYS_25to64,248041
9,2019-20,H,London,Number,EDD_IN_15_TO_21_DAYS_25to64,98030
9,2019-20,H,London,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,140991
9,2019-20,H,London,Number,EDD_WITHIN_14_DAYS_25to64,374172
9,2019-20,J,South East,Number,EDD_IN_15_TO_21_DAYS_25to64,66553
9,2019-20,J,South East,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,210200
9,2019-20,J,South East,Number,EDD_WITHIN_14_DAYS_25to64,90944
9,2019-20,K,South West,Number,EDD_IN_15_TO_21_DAYS_25to64,66292
9,2019-20,K,South West,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,173796
9,2019-20,K,South West,Number,EDD_WITHIN_14_DAYS_25to64,222472
