Table_ref,Collection_Year,Unit,Indicator,Value
1a,2012,%,Coverage_<5yrs_50to64,77.824203051646800000
1a,2012,%,Coverage_<5yrs_55to59,76.632519206999300000
1a,2012,%,Coverage_<5yrs_60to64,72.728293779472800000
1a,2012,%,Coverage_<5yrs_65to69,39.829252135039300000
1a,2012,%,Coverage_<5yrs_70to74,5.380827283375140000
1a,2012,%,Coverage_<5yrs_75_and_over,0.600047974540534000
1a,2012,%,Coverage_<5yrs_<20,0.036465603874684600
1a,2013,%,Coverage_<3.5yrs_20to24,2.951345513323140000
1a,2013,%,Coverage_<3.5yrs_25to29,61.973952295207300000
1a,2013,%,Coverage_<3.5yrs_25to49,71.527620728818200000
1a,2013,%,Coverage_<3.5yrs_25to64,68.311585620053300000
1a,2013,%,Coverage_<3.5yrs_30to34,70.617864726651300000
1a,2013,%,Coverage_<3.5yrs_35to39,73.722963048137000000
1a,2013,%,Coverage_<3.5yrs_40to44,75.845635303453200000
1a,2013,%,Coverage_<3.5yrs_45to49,76.170943094042500000
1a,2013,%,Coverage_<3.5yrs_50to54,71.196407402825600000
1a,2013,%,Coverage_<3.5yrs_55to59,51.534824423967500000
1a,2013,%,Coverage_<3.5yrs_60to64,57.619578861585600000
1a,2013,%,Coverage_<3.5yrs_65to69,26.784389555742000000
1a,2013,%,Coverage_<3.5yrs_70to74,2.596664050968740000
1a,2013,%,Coverage_<3.5yrs_75_and_over,0.297245294381164000
1a,2013,%,Coverage_<3.5yrs_<20,0.022229461762639900
1a,2013,%,Coverage_<5yrs_20to24,3.442127763661900000
1a,2013,%,Coverage_<5yrs_25to29,65.200907723045800000
1a,2013,%,Coverage_<5yrs_25to64,78.315826483533700000
1a,2013,%,Coverage_<5yrs_30to34,79.253697211856200000
1a,2013,%,Coverage_<5yrs_35to39,82.173789530286700000
1a,2013,%,Coverage_<5yrs_40to44,83.824303581565800000
1a,2013,%,Coverage_<5yrs_45to49,83.778058841193800000
1a,2013,%,Coverage_<5yrs_50to54,82.436545235953300000
1a,2013,%,Coverage_<5yrs_50to64,77.541138128368100000
1a,2013,%,Coverage_<5yrs_55to59,75.861374302177100000
1a,2013,%,Coverage_<5yrs_60to64,72.721215964878900000
1a,2013,%,Coverage_<5yrs_65to69,39.314163404790600000
1a,2013,%,Coverage_<5yrs_70to74,4.861578200026160000
1a,2013,%,Coverage_<5yrs_75_and_over,0.545607599491800000
1a,2013,%,Coverage_<5yrs_<20,0.022561244774022600
1a,2014,%,Coverage_<3.5yrs_20to24,3.344132982357790000
1a,2014,%,Coverage_<3.5yrs_25to29,63.251012610886100000
1a,2014,%,Coverage_<3.5yrs_25to49,71.899258069359100000
1a,2014,%,Coverage_<3.5yrs_25to64,68.256100356548900000
1a,2014,%,Coverage_<3.5yrs_30to34,71.008855917859600000
1a,2014,%,Coverage_<3.5yrs_35to39,73.939187866076600000
1a,2014,%,Coverage_<3.5yrs_40to44,75.961709308254800000
1a,2014,%,Coverage_<3.5yrs_45to49,76.113352549617600000
1a,2014,%,Coverage_<3.5yrs_50to54,71.535268551006600000
1a,2014,%,Coverage_<3.5yrs_55to59,53.419279226487000000
1a,2014,%,Coverage_<3.5yrs_60to64,51.735805627228700000
1a,2014,%,Coverage_<3.5yrs_65to69,24.250495122871300000
1a,2014,%,Coverage_<3.5yrs_70to74,2.157216832534850000
1a,2014,%,Coverage_<3.5yrs_75_and_over,0.253439701900113000
1a,2014,%,Coverage_<3.5yrs_<20,0.013903221027947000
1a,2014,%,Coverage_<5yrs_20to24,3.695473908329820000
1a,2014,%,Coverage_<5yrs_25to29,66.253865276918800000
1a,2014,%,Coverage_<5yrs_25to64,77.804953218445400000
1a,2014,%,Coverage_<5yrs_30to34,78.671592466960300000
1a,2014,%,Coverage_<5yrs_35to39,81.248292180134800000
1a,2014,%,Coverage_<5yrs_40to44,82.800256532915600000
1a,2014,%,Coverage_<5yrs_45to49,82.759630025980400000
1a,2014,%,Coverage_<5yrs_50to54,81.585339748899500000
1a,2014,%,Coverage_<5yrs_50to64,77.042690724899800000
1a,2014,%,Coverage_<5yrs_55to59,74.777214809944800000
1a,2014,%,Coverage_<5yrs_60to64,73.231602579742100000
1a,2014,%,Coverage_<5yrs_65to69,42.795035972192300000
1a,2014,%,Coverage_<5yrs_70to74,4.618636102107200000
1a,2014,%,Coverage_<5yrs_75_and_over,0.485645266614000000
1a,2014,%,Coverage_<5yrs_<20,0.014217063489074500
1a,2015,%,Coverage_<3.5yrs_20to24,3.233379748065150000
1a,2015,%,Coverage_<3.5yrs_25to29,63.503614833821700000
1a,2015,%,Coverage_<3.5yrs_25to49,71.285159485304900000
1a,2015,%,Coverage_<3.5yrs_25to64,67.070319451805000000
1a,2015,%,Coverage_<3.5yrs_30to34,70.384894336110100000
1a,2015,%,Coverage_<3.5yrs_35to39,73.114723837256900000
1a,2015,%,Coverage_<3.5yrs_40to44,75.050205349200200000
1a,2015,%,Coverage_<3.5yrs_45to49,75.224820400973200000
1a,2015,%,Coverage_<3.5yrs_50to54,70.089438550844000000
1a,2015,%,Coverage_<3.5yrs_55to59,52.547484555375300000
1a,2015,%,Coverage_<3.5yrs_60to64,46.338621229925600000
1a,2015,%,Coverage_<3.5yrs_65to69,19.523859227081000000
1a,2015,%,Coverage_<3.5yrs_70to74,1.626644478322950000
1a,2015,%,Coverage_<3.5yrs_75_and_over,0.212050374244350000
1a,2015,%,Coverage_<3.5yrs_<20,0.011589774329646800
1a,2015,%,Coverage_<5yrs_20to24,3.487215753292300000
1a,2015,%,Coverage_<5yrs_25to29,66.501769371097900000
1a,2015,%,Coverage_<5yrs_25to64,77.207468838497100000
1a,2015,%,Coverage_<5yrs_30to34,77.835395127451500000
1a,2015,%,Coverage_<5yrs_35to39,80.438522428017000000
1a,2015,%,Coverage_<5yrs_40to44,81.965812421096400000
1a,2015,%,Coverage_<5yrs_45to49,82.029545670729100000
1a,2015,%,Coverage_<5yrs_50to54,80.810615440048200000
1a,2015,%,Coverage_<5yrs_50to64,76.494369452214800000
1a,2015,%,Coverage_<5yrs_55to59,74.627062096830900000
1a,2015,%,Coverage_<5yrs_60to64,72.430065935500700000
1a,2015,%,Coverage_<5yrs_65to69,42.606307013794300000
1a,2015,%,Coverage_<5yrs_70to74,4.066006658701430000
1a,2015,%,Coverage_<5yrs_75_and_over,0.431583799149411000
1a,2015,%,Coverage_<5yrs_<20,0.011807861481011200
1a,2016,%,Coverage_<3.5yrs_20to24,2.827956395967490000
1a,2016,%,Coverage_<3.5yrs_25to29,63.267214566140300000
1a,2016,%,Coverage_<3.5yrs_25to49,70.267494924243600000
1a,2016,%,Coverage_<3.5yrs_25to64,65.913877733834900000
1a,2016,%,Coverage_<3.5yrs_30to34,69.383808947783200000
1a,2016,%,Coverage_<3.5yrs_35to39,71.887887847787400000
1a,2016,%,Coverage_<3.5yrs_40to44,73.708789176392800000
