Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Unit,Indicator,Value
24,2019-20,R5,West Midlands,%,Over_2wks_up_to_4_All_Ages,47.2859843370240000000
24,2019-20,R5,West Midlands,%,Over_4wks_up_to_8_All_Ages,7.3183904941939000000
24,2019-20,R5,West Midlands,%,Over_8wks_up_to_12_All_Ages,0.4860923575479340000
24,2019-20,R5,West Midlands,%,Over_12wks_All_Ages,0.1080205238995410000
24,2019-20,R5,West Midlands,%,Within_8wks_All_Ages,99.4058871185525000000
24,2019-20,R6,East of England,Number,All_referrals_All_Ages,4866
24,2019-20,R6,East of England,%,Less_than_equal_2wks_All_Ages,39.5602137279079000000
24,2019-20,R6,East of England,%,Over_2wks_up_to_4_All_Ages,47.3284011508426000000
24,2019-20,R6,East of England,%,Over_4wks_up_to_8_All_Ages,11.5906288532676000000
24,2019-20,R6,East of England,%,Over_8wks_up_to_12_All_Ages,1.1919441019317700000
24,2019-20,R6,East of England,%,Over_12wks_All_Ages,0.3288121660501440000
24,2019-20,R6,East of England,%,Within_8wks_All_Ages,98.4792437320181000000
24,2019-20,R7,London,Number,All_referrals_All_Ages,10851
24,2019-20,R7,London,%,Less_than_equal_2wks_All_Ages,35.1304027278592000000
24,2019-20,R7,London,%,Over_2wks_up_to_4_All_Ages,50.0599023131509000000
24,2019-20,R7,London,%,Over_4wks_up_to_8_All_Ages,13.5010598101557000000
24,2019-20,R7,London,%,Over_8wks_up_to_12_All_Ages,1.0229471938070200000
24,2019-20,R7,London,%,Over_12wks_All_Ages,0.2856879550271860000
24,2019-20,R7,London,%,Within_8wks_All_Ages,98.6913648511658000000
24,2019-20,R8,South East,Number,All_referrals_All_Ages,4205
24,2019-20,R8,South East,%,Less_than_equal_2wks_All_Ages,25.1605231866825000000
24,2019-20,R8,South East,%,Over_2wks_up_to_4_All_Ages,50.2021403091558000000
24,2019-20,R8,South East,%,Over_4wks_up_to_8_All_Ages,22.4494649227111000000
24,2019-20,R8,South East,%,Over_8wks_up_to_12_All_Ages,1.5933412604042800000
24,2019-20,R8,South East,%,Over_12wks_All_Ages,0.5945303210463730000
24,2019-20,R8,South East,%,Within_8wks_All_Ages,97.8121284185493000000
24,2019-20,S,South,Number,All_referrals_All_Ages,12402
24,2019-20,S,South,%,Less_than_equal_2wks_All_Ages,30.0999838735688000000
24,2019-20,S,South,%,Over_2wks_up_to_4_All_Ages,51.8787292372198000000
24,2019-20,S,South,%,Over_4wks_up_to_8_All_Ages,16.7150459603290000000
24,2019-20,S,South,%,Over_8wks_up_to_12_All_Ages,0.9514594420254800000
24,2019-20,S,South,%,Over_12wks_All_Ages,0.3547814868569590000
24,2019-20,S,South,%,Within_8wks_All_Ages,98.6937590711176000000
