Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Unit,Indicator,Value
24,2019-20,ENG,England,Number,All_referrals_All_Ages,50240
24,2019-20,ENG,England,%,Less_than_equal_2wks_All_Ages,33.7500000000000000000
24,2019-20,ENG,England,%,Over_2wks_up_to_4_All_Ages,48.1011146496815000000
24,2019-20,ENG,England,%,Over_4wks_up_to_8_All_Ages,16.4888535031847000000
24,2019-20,ENG,England,%,Over_8wks_up_to_12_All_Ages,1.2082006369426800000
24,2019-20,ENG,England,%,Over_12wks_All_Ages,0.4518312101910830000
24,2019-20,ENG,England,%,Within_8wks_All_Ages,98.3399681528662000000
24,2019-20,NEYH,"North East, Yorkshire and the Humber",Number,All_referrals_All_Ages,7730
24,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Less_than_equal_2wks_All_Ages,34.3467011642950000000
24,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Over_2wks_up_to_4_All_Ages,40.9573091849935000000
24,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Over_4wks_up_to_8_All_Ages,22.5743855109961000000
24,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Over_8wks_up_to_12_All_Ages,1.5006468305304000000
24,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Over_12wks_All_Ages,0.6209573091849930000
24,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Within_8wks_All_Ages,97.8783958602846000000
24,2019-20,R1,North East,Number,All_referrals_All_Ages,3054
24,2019-20,R1,North East,%,Less_than_equal_2wks_All_Ages,38.9325474787164000000
24,2019-20,R1,North East,%,Over_2wks_up_to_4_All_Ages,37.8192534381139000000
24,2019-20,R1,North East,%,Over_4wks_up_to_8_All_Ages,22.2003929273084000000
24,2019-20,R1,North East,%,Over_8wks_up_to_12_All_Ages,1.0150622134905000000
24,2019-20,R1,North East,%,Over_12wks_All_Ages,0.0327439423706614000
24,2019-20,R1,North East,%,Within_8wks_All_Ages,98.9521938441388000000
24,2019-20,R10,South West,Number,All_referrals_All_Ages,8197
24,2019-20,R10,South West,%,Less_than_equal_2wks_All_Ages,32.6338904477248000000
24,2019-20,R10,South West,%,Over_2wks_up_to_4_All_Ages,52.7388068805661000000
24,2019-20,R10,South West,%,Over_4wks_up_to_8_All_Ages,13.7733317067220000000
24,2019-20,R10,South West,%,Over_8wks_up_to_12_All_Ages,0.6221788459192390000
24,2019-20,R10,South West,%,Over_12wks_All_Ages,0.2317921190679520000
24,2019-20,R10,South West,%,Within_8wks_All_Ages,99.1460290350128000000
24,2019-20,R2,North West,Number,All_referrals_All_Ages,6810
24,2019-20,R2,North West,%,Less_than_equal_2wks_All_Ages,26.3582966226138000000
24,2019-20,R2,North West,%,Over_2wks_up_to_4_All_Ages,51.0425844346549000000
24,2019-20,R2,North West,%,Over_4wks_up_to_8_All_Ages,19.7650513950073000000
24,2019-20,R2,North West,%,Over_8wks_up_to_12_All_Ages,1.7621145374449300000
24,2019-20,R2,North West,%,Over_12wks_All_Ages,1.0719530102790000000
24,2019-20,R2,North West,%,Within_8wks_All_Ages,97.1659324522761000000
24,2019-20,R3,Yorkshire and the Humber,Number,All_referrals_All_Ages,4676
24,2019-20,R3,Yorkshire and the Humber,%,Less_than_equal_2wks_All_Ages,31.3515825491873000000
24,2019-20,R3,Yorkshire and the Humber,%,Over_2wks_up_to_4_All_Ages,43.0068434559453000000
24,2019-20,R3,Yorkshire and the Humber,%,Over_4wks_up_to_8_All_Ages,22.8186484174508000000
24,2019-20,R3,Yorkshire and the Humber,%,Over_8wks_up_to_12_All_Ages,1.8177929854576600000
24,2019-20,R3,Yorkshire and the Humber,%,Over_12wks_All_Ages,1.0051325919589400000
24,2019-20,R3,Yorkshire and the Humber,%,Within_8wks_All_Ages,97.1770744225834000000
24,2019-20,R4,East Midlands,Number,All_referrals_All_Ages,3878
24,2019-20,R4,East Midlands,%,Less_than_equal_2wks_All_Ages,35.5079938112429000000
24,2019-20,R4,East Midlands,%,Over_2wks_up_to_4_All_Ages,41.3615265600825000000
24,2019-20,R4,East Midlands,%,Over_4wks_up_to_8_All_Ages,21.1449200618876000000
24,2019-20,R4,East Midlands,%,Over_8wks_up_to_12_All_Ages,1.7019082001031500000
24,2019-20,R4,East Midlands,%,Over_12wks_All_Ages,0.2836513666838580000
24,2019-20,R4,East Midlands,%,Within_8wks_All_Ages,98.0144404332130000000
24,2019-20,R5,West Midlands,Number,All_referrals_All_Ages,3703
24,2019-20,R5,West Midlands,%,Less_than_equal_2wks_All_Ages,44.8015122873346000000
