Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
9a,2019-20,G,East of England,00KC,E06000056,Central Bedfordshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,9434
9a,2019-20,G,East of England,00KC,E06000056,Central Bedfordshire,Number,EDD_WITHIN_14_DAYS_25to64,5790
9a,2019-20,G,East of England,22,E10000012,Essex,Number,EDD_IN_15_TO_21_DAYS_25to64,8112
9a,2019-20,G,East of England,22,E10000012,Essex,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,28066
9a,2019-20,G,East of England,22,E10000012,Essex,Number,EDD_WITHIN_14_DAYS_25to64,52373
9a,2019-20,G,East of England,26,E10000015,Hertfordshire,Number,EDD_IN_15_TO_21_DAYS_25to64,4492
9a,2019-20,G,East of England,26,E10000015,Hertfordshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,29901
9a,2019-20,G,East of England,26,E10000015,Hertfordshire,Number,EDD_WITHIN_14_DAYS_25to64,43106
9a,2019-20,G,East of England,00KA,E06000032,Luton,Number,EDD_IN_15_TO_21_DAYS_25to64,1551
9a,2019-20,G,East of England,00KA,E06000032,Luton,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,6199
9a,2019-20,G,East of England,00KA,E06000032,Luton,Number,EDD_WITHIN_14_DAYS_25to64,4748
9a,2019-20,G,East of England,00MG,E06000042,Milton Keynes,Number,EDD_IN_15_TO_21_DAYS_25to64,489
9a,2019-20,G,East of England,00MG,E06000042,Milton Keynes,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,11395
9a,2019-20,G,East of England,00MG,E06000042,Milton Keynes,Number,EDD_WITHIN_14_DAYS_25to64,5694
9a,2019-20,G,East of England,33,E10000020,Norfolk,Number,EDD_IN_15_TO_21_DAYS_25to64,224
9a,2019-20,G,East of England,33,E10000020,Norfolk,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,62
9a,2019-20,G,East of England,33,E10000020,Norfolk,Number,EDD_WITHIN_14_DAYS_25to64,48456
9a,2019-20,G,East of England,00JA,E06000031,Peterborough,Number,EDD_IN_15_TO_21_DAYS_25to64,231
9a,2019-20,G,East of England,00JA,E06000031,Peterborough,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,60
9a,2019-20,G,East of England,00JA,E06000031,Peterborough,Number,EDD_WITHIN_14_DAYS_25to64,12052
9a,2019-20,G,East of England,00KF,E06000033,Southend-on-Sea,Number,EDD_IN_15_TO_21_DAYS_25to64,176
9a,2019-20,G,East of England,00KF,E06000033,Southend-on-Sea,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7042
9a,2019-20,G,East of England,00KF,E06000033,Southend-on-Sea,Number,EDD_WITHIN_14_DAYS_25to64,4289
9a,2019-20,G,East of England,42,E10000029,Suffolk,Number,EDD_IN_15_TO_21_DAYS_25to64,4086
9a,2019-20,G,East of England,42,E10000029,Suffolk,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2735
9a,2019-20,G,East of England,42,E10000029,Suffolk,Number,EDD_WITHIN_14_DAYS_25to64,34368
9a,2019-20,G,East of England,00KG,E06000034,Thurrock,Number,EDD_IN_15_TO_21_DAYS_25to64,240
9a,2019-20,G,East of England,00KG,E06000034,Thurrock,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,6936
9a,2019-20,G,East of England,00KG,E06000034,Thurrock,Number,EDD_WITHIN_14_DAYS_25to64,4619
9a,2019-20,H,London,00AB,E09000002,Barking and Dagenham,Number,EDD_IN_15_TO_21_DAYS_25to64,3693
9a,2019-20,H,London,00AB,E09000002,Barking and Dagenham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,4433
9a,2019-20,H,London,00AB,E09000002,Barking and Dagenham,Number,EDD_WITHIN_14_DAYS_25to64,5532
9a,2019-20,H,London,00AC,E09000003,Barnet,Number,EDD_IN_15_TO_21_DAYS_25to64,3324
9a,2019-20,H,London,00AC,E09000003,Barnet,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1460
9a,2019-20,H,London,00AC,E09000003,Barnet,Number,EDD_WITHIN_14_DAYS_25to64,20092
9a,2019-20,H,London,00AD,E09000004,Bexley,Number,EDD_IN_15_TO_21_DAYS_25to64,1910
9a,2019-20,H,London,00AD,E09000004,Bexley,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2757
9a,2019-20,H,London,00AD,E09000004,Bexley,Number,EDD_WITHIN_14_DAYS_25to64,9819
9a,2019-20,H,London,00AE,E09000005,Brent,Number,EDD_IN_15_TO_21_DAYS_25to64,4514
9a,2019-20,H,London,00AE,E09000005,Brent,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,986
9a,2019-20,H,London,00AE,E09000005,Brent,Number,EDD_WITHIN_14_DAYS_25to64,16379
9a,2019-20,H,London,00AF,E09000006,Bromley,Number,EDD_IN_15_TO_21_DAYS_25to64,3149
9a,2019-20,H,London,00AF,E09000006,Bromley,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3197
9a,2019-20,H,London,00AF,E09000006,Bromley,Number,EDD_WITHIN_14_DAYS_25to64,14087
9a,2019-20,H,London,00AG,E09000007,Camden,Number,EDD_IN_15_TO_21_DAYS_25to64,1927
9a,2019-20,H,London,00AG,E09000007,Camden,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,910
9a,2019-20,H,London,00AG,E09000007,Camden,Number,EDD_WITHIN_14_DAYS_25to64,11839
9a,2019-20,H,London,00AH,E09000008,Croydon,Number,EDD_IN_15_TO_21_DAYS_25to64,3614
9a,2019-20,H,London,00AH,E09000008,Croydon,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,8558
9a,2019-20,H,London,00AH,E09000008,Croydon,Number,EDD_WITHIN_14_DAYS_25to64,12897
9a,2019-20,H,London,00AJ,E09000009,Ealing,Number,EDD_IN_15_TO_21_DAYS_25to64,6900
9a,2019-20,H,London,00AJ,E09000009,Ealing,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1500
9a,2019-20,H,London,00AJ,E09000009,Ealing,Number,EDD_WITHIN_14_DAYS_25to64,17029
9a,2019-20,H,London,00AK,E09000010,Enfield,Number,EDD_IN_15_TO_21_DAYS_25to64,2882
9a,2019-20,H,London,00AK,E09000010,Enfield,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1361
9a,2019-20,H,London,00AK,E09000010,Enfield,Number,EDD_WITHIN_14_DAYS_25to64,17004
9a,2019-20,H,London,00AL,E09000011,Greenwich,Number,EDD_IN_15_TO_21_DAYS_25to64,2460
9a,2019-20,H,London,00AL,E09000011,Greenwich,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3599
9a,2019-20,H,London,00AL,E09000011,Greenwich,Number,EDD_WITHIN_14_DAYS_25to64,12449
9a,2019-20,H,London,00AM,E09000012,Hackney,Number,EDD_IN_15_TO_21_DAYS_25to64,2937
9a,2019-20,H,London,00AM,E09000012,Hackney,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7900
9a,2019-20,H,London,00AM,E09000012,Hackney,Number,EDD_WITHIN_14_DAYS_25to64,14486
9a,2019-20,H,London,00AN,E09000013,Hammersmith and Fulham,Number,EDD_IN_15_TO_21_DAYS_25to64,2183
9a,2019-20,H,London,00AN,E09000013,Hammersmith and Fulham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,323
9a,2019-20,H,London,00AN,E09000013,Hammersmith and Fulham,Number,EDD_WITHIN_14_DAYS_25to64,10777
9a,2019-20,H,London,00AP,E09000014,Haringey,Number,EDD_IN_15_TO_21_DAYS_25to64,3058
9a,2019-20,H,London,00AP,E09000014,Haringey,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1414
9a,2019-20,H,London,00AP,E09000014,Haringey,Number,EDD_WITHIN_14_DAYS_25to64,15811
9a,2019-20,H,London,00AQ,E09000015,Harrow,Number,EDD_IN_15_TO_21_DAYS_25to64,3171
9a,2019-20,H,London,00AQ,E09000015,Harrow,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,757
9a,2019-20,H,London,00AQ,E09000015,Harrow,Number,EDD_WITHIN_14_DAYS_25to64,11312
9a,2019-20,H,London,00AR,E09000016,Havering,Number,EDD_IN_15_TO_21_DAYS_25to64,4075
9a,2019-20,H,London,00AR,E09000016,Havering,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,5506
9a,2019-20,H,London,00AR,E09000016,Havering,Number,EDD_WITHIN_14_DAYS_25to64,6554
9a,2019-20,H,London,00AS,E09000017,Hillingdon,Number,EDD_IN_15_TO_21_DAYS_25to64,4825
9a,2019-20,H,London,00AS,E09000017,Hillingdon,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,998
9a,2019-20,H,London,00AS,E09000017,Hillingdon,Number,EDD_WITHIN_14_DAYS_25to64,12839
9a,2019-20,H,London,00AT,E09000018,Hounslow,Number,EDD_IN_15_TO_21_DAYS_25to64,4991
9a,2019-20,H,London,00AT,E09000018,Hounslow,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2328
9a,2019-20,H,London,00AT,E09000018,Hounslow,Number,EDD_WITHIN_14_DAYS_25to64,12358
9a,2019-20,H,London,00AU,E09000019,Islington,Number,EDD_IN_15_TO_21_DAYS_25to64,2151
9a,2019-20,H,London,00AU,E09000019,Islington,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1366
9a,2019-20,H,London,00AU,E09000019,Islington,Number,EDD_WITHIN_14_DAYS_25to64,13484
9a,2019-20,H,London,00AW,E09000020,Kensington and Chelsea,Number,EDD_IN_15_TO_21_DAYS_25to64,1436
9a,2019-20,H,London,00AW,E09000020,Kensington and Chelsea,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,251
9a,2019-20,H,London,00AW,E09000020,Kensington and Chelsea,Number,EDD_WITHIN_14_DAYS_25to64,6896
9a,2019-20,H,London,00AX,E09000021,Kingston upon Thames,Number,EDD_IN_15_TO_21_DAYS_25to64,1626
9a,2019-20,H,London,00AX,E09000021,Kingston upon Thames,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3502
9a,2019-20,H,London,00AX,E09000021,Kingston upon Thames,Number,EDD_WITHIN_14_DAYS_25to64,5459
9a,2019-20,H,London,00AY,E09000022,Lambeth,Number,EDD_IN_15_TO_21_DAYS_25to64,2733
9a,2019-20,H,London,00AY,E09000022,Lambeth,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,8982
9a,2019-20,H,London,00AY,E09000022,Lambeth,Number,EDD_WITHIN_14_DAYS_25to64,14858
9a,2019-20,H,London,00AZ,E09000023,Lewisham,Number,EDD_IN_15_TO_21_DAYS_25to64,2132
9a,2019-20,H,London,00AZ,E09000023,Lewisham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7346
9a,2019-20,H,London,00AZ,E09000023,Lewisham,Number,EDD_WITHIN_14_DAYS_25to64,12814
9a,2019-20,H,London,00BA,E09000024,Merton,Number,EDD_IN_15_TO_21_DAYS_25to64,2533
9a,2019-20,H,London,00BA,E09000024,Merton,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7734
9a,2019-20,H,London,00BA,E09000024,Merton,Number,EDD_WITHIN_14_DAYS_25to64,4859
9a,2019-20,H,London,00BB,E09000025,Newham,Number,EDD_IN_15_TO_21_DAYS_25to64,2701
9a,2019-20,H,London,00BB,E09000025,Newham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,8231
9a,2019-20,H,London,00BB,E09000025,Newham,Number,EDD_WITHIN_14_DAYS_25to64,17054
9a,2019-20,H,London,00BC,E09000026,Redbridge,Number,EDD_IN_15_TO_21_DAYS_25to64,5441
9a,2019-20,H,London,00BC,E09000026,Redbridge,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,6698
9a,2019-20,H,London,00BC,E09000026,Redbridge,Number,EDD_WITHIN_14_DAYS_25to64,7396
9a,2019-20,H,London,00BD,E09000027,Richmond upon Thames,Number,EDD_IN_15_TO_21_DAYS_25to64,2411
9a,2019-20,H,London,00BD,E09000027,Richmond upon Thames,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,4386
9a,2019-20,H,London,00BD,E09000027,Richmond upon Thames,Number,EDD_WITHIN_14_DAYS_25to64,6477
9a,2019-20,H,London,00BE,E09000028,Southwark,Number,EDD_IN_15_TO_21_DAYS_25to64,2476
9a,2019-20,H,London,00BE,E09000028,Southwark,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,8096
9a,2019-20,H,London,00BE,E09000028,Southwark,Number,EDD_WITHIN_14_DAYS_25to64,13902
9a,2019-20,H,London,00BF,E09000029,Sutton,Number,EDD_IN_15_TO_21_DAYS_25to64,2475
9a,2019-20,H,London,00BF,E09000029,Sutton,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7376
9a,2019-20,H,London,00BF,E09000029,Sutton,Number,EDD_WITHIN_14_DAYS_25to64,3493
9a,2019-20,H,London,00BG,E09000030,Tower Hamlets,Number,EDD_IN_15_TO_21_DAYS_25to64,2094
9a,2019-20,H,London,00BG,E09000030,Tower Hamlets,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7653
9a,2019-20,H,London,00BG,E09000030,Tower Hamlets,Number,EDD_WITHIN_14_DAYS_25to64,13149
9a,2019-20,H,London,00BH,E09000031,Waltham Forest,Number,EDD_IN_15_TO_21_DAYS_25to64,1574
9a,2019-20,H,London,00BH,E09000031,Waltham Forest,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,11934
9a,2019-20,H,London,00BH,E09000031,Waltham Forest,Number,EDD_WITHIN_14_DAYS_25to64,8783
9a,2019-20,H,London,00BJ,E09000032,Wandsworth,Number,EDD_IN_15_TO_21_DAYS_25to64,4461
9a,2019-20,H,London,00BJ,E09000032,Wandsworth,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,9024
9a,2019-20,H,London,00BJ,E09000032,Wandsworth,Number,EDD_WITHIN_14_DAYS_25to64,13658
9a,2019-20,H,London,00BK,E09000033,Westminster,Number,EDD_IN_15_TO_21_DAYS_25to64,2173
9a,2019-20,H,London,00BK,E09000033,Westminster,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,425
9a,2019-20,H,London,00BK,E09000033,Westminster,Number,EDD_WITHIN_14_DAYS_25to64,10626
9a,2019-20,J,South East,00MA,E06000036,Bracknell Forest,Number,EDD_IN_15_TO_21_DAYS_25to64,2330
9a,2019-20,J,South East,00MA,E06000036,Bracknell Forest,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3169
9a,2019-20,J,South East,00MA,E06000036,Bracknell Forest,Number,EDD_WITHIN_14_DAYS_25to64,2145
9a,2019-20,J,South East,00ML,E06000043,Brighton and Hove,Number,EDD_IN_15_TO_21_DAYS_25to64,2279
9a,2019-20,J,South East,00ML,E06000043,Brighton and Hove,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,14568
9a,2019-20,J,South East,00ML,E06000043,Brighton and Hove,Number,EDD_WITHIN_14_DAYS_25to64,1969
9a,2019-20,J,South East,11,E10000002,Buckinghamshire,Number,EDD_IN_15_TO_21_DAYS_25to64,4550
9a,2019-20,J,South East,11,E10000002,Buckinghamshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,23115
9a,2019-20,J,South East,11,E10000002,Buckinghamshire,Number,EDD_WITHIN_14_DAYS_25to64,4512
9a,2019-20,J,South East,21,E10000011,East Sussex,Number,EDD_IN_15_TO_21_DAYS_25to64,4482
9a,2019-20,J,South East,21,E10000011,East Sussex,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,22643
9a,2019-20,J,South East,21,E10000011,East Sussex,Number,EDD_WITHIN_14_DAYS_25to64,4363
9a,2019-20,J,South East,29,E10000016,Kent,Number,EDD_IN_15_TO_21_DAYS_25to64,13663
9a,2019-20,J,South East,29,E10000016,Kent,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,44270
9a,2019-20,J,South East,29,E10000016,Kent,Number,EDD_WITHIN_14_DAYS_25to64,30741
9a,2019-20,J,South East,00LC,E06000035,Medway,Number,EDD_IN_15_TO_21_DAYS_25to64,2982
9a,2019-20,J,South East,00LC,E06000035,Medway,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,9077
9a,2019-20,J,South East,00LC,E06000035,Medway,Number,EDD_WITHIN_14_DAYS_25to64,4015
9a,2019-20,J,South East,00MC,E06000038,Reading,Number,EDD_IN_15_TO_21_DAYS_25to64,3508
9a,2019-20,J,South East,00MC,E06000038,Reading,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,4548
9a,2019-20,J,South East,00MC,E06000038,Reading,Number,EDD_WITHIN_14_DAYS_25to64,2656
9a,2019-20,J,South East,00MD,E06000039,Slough,Number,EDD_IN_15_TO_21_DAYS_25to64,3408
9a,2019-20,J,South East,00MD,E06000039,Slough,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3806
9a,2019-20,J,South East,00MD,E06000039,Slough,Number,EDD_WITHIN_14_DAYS_25to64,2952
9a,2019-20,J,South East,43,E10000030,Surrey,Number,EDD_IN_15_TO_21_DAYS_25to64,13102
9a,2019-20,J,South East,43,E10000030,Surrey,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,31849
9a,2019-20,J,South East,43,E10000030,Surrey,Number,EDD_WITHIN_14_DAYS_25to64,25423
9a,2019-20,J,South East,00MB,E06000037,West Berkshire,Number,EDD_IN_15_TO_21_DAYS_25to64,2807
9a,2019-20,J,South East,00MB,E06000037,West Berkshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,4239
9a,2019-20,J,South East,00MB,E06000037,West Berkshire,Number,EDD_WITHIN_14_DAYS_25to64,2414
9a,2019-20,J,South East,45,E10000032,West Sussex,Number,EDD_IN_15_TO_21_DAYS_25to64,7317
9a,2019-20,J,South East,45,E10000032,West Sussex,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,40788
9a,2019-20,J,South East,45,E10000032,West Sussex,Number,EDD_WITHIN_14_DAYS_25to64,4278
9a,2019-20,J,South East,00ME,E06000040,Windsor and Maidenhead,Number,EDD_IN_15_TO_21_DAYS_25to64,2865
9a,2019-20,J,South East,00ME,E06000040,Windsor and Maidenhead,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3892
9a,2019-20,J,South East,00ME,E06000040,Windsor and Maidenhead,Number,EDD_WITHIN_14_DAYS_25to64,2604
9a,2019-20,J,South East,00MF,E06000041,Wokingham,Number,EDD_IN_15_TO_21_DAYS_25to64,3260
9a,2019-20,J,South East,00MF,E06000041,Wokingham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,4236
9a,2019-20,J,South East,00MF,E06000041,Wokingham,Number,EDD_WITHIN_14_DAYS_25to64,2872
9a,2019-20,K,South West,00HA,E06000022,Bath and North East Somerset,Number,EDD_IN_15_TO_21_DAYS_25to64,734
9a,2019-20,K,South West,00HA,E06000022,Bath and North East Somerset,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7751
9a,2019-20,K,South West,00HA,E06000022,Bath and North East Somerset,Number,EDD_WITHIN_14_DAYS_25to64,1888
9a,2019-20,K,South West,00HQ,E06000058,"Bournemouth, Christchurch and Poole",Number,EDD_IN_15_TO_21_DAYS_25to64,2941
9a,2019-20,K,South West,00HQ,E06000058,"Bournemouth, Christchurch and Poole",Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2197
9a,2019-20,K,South West,00HQ,E06000058,"Bournemouth, Christchurch and Poole",Number,EDD_WITHIN_14_DAYS_25to64,17449
9a,2019-20,K,South West,00HB,E06000023,Bristol,Number,EDD_IN_15_TO_21_DAYS_25to64,2104
9a,2019-20,K,South West,00HB,E06000023,Bristol,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,4142
9a,2019-20,K,South West,00HB,E06000023,Bristol,Number,EDD_WITHIN_14_DAYS_25to64,22892
9a,2019-20,K,South West,00HE,E06000052,Cornwall,Number,EDD_IN_15_TO_21_DAYS_25to64,425
9a,2019-20,K,South West,00HE,E06000052,Cornwall,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,804
9a,2019-20,K,South West,00HE,E06000052,Cornwall,Number,EDD_WITHIN_14_DAYS_25to64,27472
9a,2019-20,K,South West,18,E10000008,Devon,Number,EDD_IN_15_TO_21_DAYS_25to64,689
9a,2019-20,K,South West,18,E10000008,Devon,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,809
9a,2019-20,K,South West,18,E10000008,Devon,Number,EDD_WITHIN_14_DAYS_25to64,39954
9a,2019-20,K,South West,00HR,E06000059,Dorset,Number,EDD_IN_15_TO_21_DAYS_25to64,5447
9a,2019-20,K,South West,00HR,E06000059,Dorset,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3822
9a,2019-20,K,South West,00HR,E06000059,Dorset,Number,EDD_WITHIN_14_DAYS_25to64,10434
9a,2019-20,K,South West,23,E10000013,Gloucestershire,Number,EDD_IN_15_TO_21_DAYS_25to64,2824
9a,2019-20,K,South West,23,E10000013,Gloucestershire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,5399
9a,2019-20,K,South West,23,E10000013,Gloucestershire,Number,EDD_WITHIN_14_DAYS_25to64,25191
9a,2019-20,K,South West,24,E10000014,Hampshire,Number,EDD_IN_15_TO_21_DAYS_25to64,21080
9a,2019-20,K,South West,24,E10000014,Hampshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,49322
9a,2019-20,K,South West,24,E10000014,Hampshire,Number,EDD_WITHIN_14_DAYS_25to64,12097
9a,2019-20,K,South West,00MW,E06000046,Isle of Wight,Number,EDD_IN_15_TO_21_DAYS_25to64,991
9a,2019-20,K,South West,00MW,E06000046,Isle of Wight,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,6042
9a,2019-20,K,South West,00MW,E06000046,Isle of Wight,Number,EDD_WITHIN_14_DAYS_25to64,448
9a,2019-20,K,South West,00HC,E06000024,North Somerset,Number,EDD_IN_15_TO_21_DAYS_25to64,729
9a,2019-20,K,South West,00HC,E06000024,North Somerset,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1620
9a,2019-20,K,South West,00HC,E06000024,North Somerset,Number,EDD_WITHIN_14_DAYS_25to64,9069
9a,2019-20,K,South West,38,E10000025,Oxfordshire,Number,EDD_IN_15_TO_21_DAYS_25to64,11314
9a,2019-20,K,South West,38,E10000025,Oxfordshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,27642
9a,2019-20,K,South West,38,E10000025,Oxfordshire,Number,EDD_WITHIN_14_DAYS_25to64,4755
9a,2019-20,K,South West,00HG,E06000026,Plymouth,Number,EDD_IN_15_TO_21_DAYS_25to64,959
9a,2019-20,K,South West,00HG,E06000026,Plymouth,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2147
9a,2019-20,K,South West,00HG,E06000026,Plymouth,Number,EDD_WITHIN_14_DAYS_25to64,10123
9a,2019-20,K,South West,00MR,E06000044,Portsmouth,Number,EDD_IN_15_TO_21_DAYS_25to64,1264
9a,2019-20,K,South West,00MR,E06000044,Portsmouth,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,9951
9a,2019-20,K,South West,00MR,E06000044,Portsmouth,Number,EDD_WITHIN_14_DAYS_25to64,1100
9a,2019-20,K,South West,40,E10000027,Somerset,Number,EDD_IN_15_TO_21_DAYS_25to64,7995
9a,2019-20,K,South West,40,E10000027,Somerset,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,10779
9a,2019-20,K,South West,40,E10000027,Somerset,Number,EDD_WITHIN_14_DAYS_25to64,10542
9a,2019-20,K,South West,00HD,E06000025,South Gloucestershire,Number,EDD_IN_15_TO_21_DAYS_25to64,1028
9a,2019-20,K,South West,00HD,E06000025,South Gloucestershire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2423
9a,2019-20,K,South West,00HD,E06000025,South Gloucestershire,Number,EDD_WITHIN_14_DAYS_25to64,12741
9a,2019-20,K,South West,00MS,E06000045,Southampton,Number,EDD_IN_15_TO_21_DAYS_25to64,1769
9a,2019-20,K,South West,00MS,E06000045,Southampton,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,11365
9a,2019-20,K,South West,00MS,E06000045,Southampton,Number,EDD_WITHIN_14_DAYS_25to64,1132
9a,2019-20,K,South West,00HX,E06000030,Swindon,Number,EDD_IN_15_TO_21_DAYS_25to64,1022
9a,2019-20,K,South West,00HX,E06000030,Swindon,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,10744
9a,2019-20,K,South West,00HX,E06000030,Swindon,Number,EDD_WITHIN_14_DAYS_25to64,1175
9a,2019-20,K,South West,00HH,E06000027,Torbay,Number,EDD_IN_15_TO_21_DAYS_25to64,9
9a,2019-20,K,South West,00HH,E06000027,Torbay,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7
9a,2019-20,K,South West,00HH,E06000027,Torbay,Number,EDD_WITHIN_14_DAYS_25to64,6863
9a,2019-20,K,South West,00HY,E06000054,Wiltshire,Number,EDD_IN_15_TO_21_DAYS_25to64,2968
9a,2019-20,K,South West,00HY,E06000054,Wiltshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,16830
9a,2019-20,K,South West,00HY,E06000054,Wiltshire,Number,EDD_WITHIN_14_DAYS_25to64,7147
