Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
9a,2019-20,B,North West,00BM,E08000002,Bury,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2390
9a,2019-20,B,North West,00BM,E08000002,Bury,Number,EDD_WITHIN_14_DAYS_25to64,5652
9a,2019-20,B,North West,00EQ,E06000049,Cheshire East,Number,EDD_IN_15_TO_21_DAYS_25to64,4533
9a,2019-20,B,North West,00EQ,E06000049,Cheshire East,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,10708
9a,2019-20,B,North West,00EQ,E06000049,Cheshire East,Number,EDD_WITHIN_14_DAYS_25to64,7315
9a,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,Number,EDD_IN_15_TO_21_DAYS_25to64,5099
9a,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,10292
9a,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,Number,EDD_WITHIN_14_DAYS_25to64,5060
9a,2019-20,B,North West,16,E10000006,Cumbria,Number,EDD_IN_15_TO_21_DAYS_25to64,10505
9a,2019-20,B,North West,16,E10000006,Cumbria,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2743
9a,2019-20,B,North West,16,E10000006,Cumbria,Number,EDD_WITHIN_14_DAYS_25to64,14286
9a,2019-20,B,North West,00ET,E06000006,Halton,Number,EDD_IN_15_TO_21_DAYS_25to64,1281
9a,2019-20,B,North West,00ET,E06000006,Halton,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,396
9a,2019-20,B,North West,00ET,E06000006,Halton,Number,EDD_WITHIN_14_DAYS_25to64,4795
9a,2019-20,B,North West,00BX,E08000011,Knowsley,Number,EDD_IN_15_TO_21_DAYS_25to64,2229
9a,2019-20,B,North West,00BX,E08000011,Knowsley,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1722
9a,2019-20,B,North West,00BX,E08000011,Knowsley,Number,EDD_WITHIN_14_DAYS_25to64,4721
9a,2019-20,B,North West,30,E10000017,Lancashire,Number,EDD_IN_15_TO_21_DAYS_25to64,16173
9a,2019-20,B,North West,30,E10000017,Lancashire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,17333
9a,2019-20,B,North West,30,E10000017,Lancashire,Number,EDD_WITHIN_14_DAYS_25to64,32467
9a,2019-20,B,North West,00BY,E08000012,Liverpool,Number,EDD_IN_15_TO_21_DAYS_25to64,7949
9a,2019-20,B,North West,00BY,E08000012,Liverpool,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,11490
9a,2019-20,B,North West,00BY,E08000012,Liverpool,Number,EDD_WITHIN_14_DAYS_25to64,6845
9a,2019-20,B,North West,00BN,E08000003,Manchester,Number,EDD_IN_15_TO_21_DAYS_25to64,9319
9a,2019-20,B,North West,00BN,E08000003,Manchester,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,4360
9a,2019-20,B,North West,00BN,E08000003,Manchester,Number,EDD_WITHIN_14_DAYS_25to64,18056
9a,2019-20,B,North West,00BP,E08000004,Oldham,Number,EDD_IN_15_TO_21_DAYS_25to64,3246
9a,2019-20,B,North West,00BP,E08000004,Oldham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2629
9a,2019-20,B,North West,00BP,E08000004,Oldham,Number,EDD_WITHIN_14_DAYS_25to64,6686
9a,2019-20,B,North West,00BQ,E08000005,Rochdale,Number,EDD_IN_15_TO_21_DAYS_25to64,3265
9a,2019-20,B,North West,00BQ,E08000005,Rochdale,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2742
9a,2019-20,B,North West,00BQ,E08000005,Rochdale,Number,EDD_WITHIN_14_DAYS_25to64,6860
9a,2019-20,B,North West,00BR,E08000006,Salford,Number,EDD_IN_15_TO_21_DAYS_25to64,3803
9a,2019-20,B,North West,00BR,E08000006,Salford,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3380
9a,2019-20,B,North West,00BR,E08000006,Salford,Number,EDD_WITHIN_14_DAYS_25to64,7898
9a,2019-20,B,North West,00CA,E08000014,Sefton,Number,EDD_IN_15_TO_21_DAYS_25to64,4658
9a,2019-20,B,North West,00CA,E08000014,Sefton,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,6385
9a,2019-20,B,North West,00CA,E08000014,Sefton,Number,EDD_WITHIN_14_DAYS_25to64,3760
9a,2019-20,B,North West,00BZ,E08000013,St. Helens,Number,EDD_IN_15_TO_21_DAYS_25to64,1896
9a,2019-20,B,North West,00BZ,E08000013,St. Helens,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,512
9a,2019-20,B,North West,00BZ,E08000013,St. Helens,Number,EDD_WITHIN_14_DAYS_25to64,6933
9a,2019-20,B,North West,00BS,E08000007,Stockport,Number,EDD_IN_15_TO_21_DAYS_25to64,5709
9a,2019-20,B,North West,00BS,E08000007,Stockport,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1693
9a,2019-20,B,North West,00BS,E08000007,Stockport,Number,EDD_WITHIN_14_DAYS_25to64,10635
9a,2019-20,B,North West,00BT,E08000008,Tameside,Number,EDD_IN_15_TO_21_DAYS_25to64,4360
9a,2019-20,B,North West,00BT,E08000008,Tameside,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1269
9a,2019-20,B,North West,00BT,E08000008,Tameside,Number,EDD_WITHIN_14_DAYS_25to64,7424
9a,2019-20,B,North West,00BU,E08000009,Trafford,Number,EDD_IN_15_TO_21_DAYS_25to64,4845
9a,2019-20,B,North West,00BU,E08000009,Trafford,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1386
9a,2019-20,B,North West,00BU,E08000009,Trafford,Number,EDD_WITHIN_14_DAYS_25to64,8237
9a,2019-20,B,North West,00EU,E06000007,Warrington,Number,EDD_IN_15_TO_21_DAYS_25to64,2186
9a,2019-20,B,North West,00EU,E06000007,Warrington,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,442
9a,2019-20,B,North West,00EU,E06000007,Warrington,Number,EDD_WITHIN_14_DAYS_25to64,8685
9a,2019-20,B,North West,00BW,E08000010,Wigan,Number,EDD_IN_15_TO_21_DAYS_25to64,5784
9a,2019-20,B,North West,00BW,E08000010,Wigan,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1905
9a,2019-20,B,North West,00BW,E08000010,Wigan,Number,EDD_WITHIN_14_DAYS_25to64,10162
9a,2019-20,B,North West,00CB,E08000015,Wirral,Number,EDD_IN_15_TO_21_DAYS_25to64,4970
9a,2019-20,B,North West,00CB,E08000015,Wirral,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,9518
9a,2019-20,B,North West,00CB,E08000015,Wirral,Number,EDD_WITHIN_14_DAYS_25to64,4127
9a,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,Number,EDD_IN_15_TO_21_DAYS_25to64,527
9a,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,438
9a,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,Number,EDD_WITHIN_14_DAYS_25to64,12437
9a,2019-20,D,Yorkshire and the Humber,00CX,E08000032,Bradford,Number,EDD_IN_15_TO_21_DAYS_25to64,1585
9a,2019-20,D,Yorkshire and the Humber,00CX,E08000032,Bradford,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,19646
9a,2019-20,D,Yorkshire and the Humber,00CX,E08000032,Bradford,Number,EDD_WITHIN_14_DAYS_25to64,8154
9a,2019-20,D,Yorkshire and the Humber,00CY,E08000033,Calderdale,Number,EDD_IN_15_TO_21_DAYS_25to64,241
9a,2019-20,D,Yorkshire and the Humber,00CY,E08000033,Calderdale,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7807
9a,2019-20,D,Yorkshire and the Humber,00CY,E08000033,Calderdale,Number,EDD_WITHIN_14_DAYS_25to64,4487
9a,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,Number,EDD_IN_15_TO_21_DAYS_25to64,394
9a,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,9598
9a,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,Number,EDD_WITHIN_14_DAYS_25to64,7371
9a,2019-20,D,Yorkshire and the Humber,00FB,E06000011,East Riding of Yorkshire,Number,EDD_IN_15_TO_21_DAYS_25to64,881
9a,2019-20,D,Yorkshire and the Humber,00FB,E06000011,East Riding of Yorkshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,5610
9a,2019-20,D,Yorkshire and the Humber,00FB,E06000011,East Riding of Yorkshire,Number,EDD_WITHIN_14_DAYS_25to64,12174
9a,2019-20,D,Yorkshire and the Humber,00FA,E06000010,Kingston upon Hull,Number,EDD_IN_15_TO_21_DAYS_25to64,558
9a,2019-20,D,Yorkshire and the Humber,00FA,E06000010,Kingston upon Hull,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,4919
9a,2019-20,D,Yorkshire and the Humber,00FA,E06000010,Kingston upon Hull,Number,EDD_WITHIN_14_DAYS_25to64,9512
9a,2019-20,D,Yorkshire and the Humber,00CZ,E08000034,Kirklees,Number,EDD_IN_15_TO_21_DAYS_25to64,427
9a,2019-20,D,Yorkshire and the Humber,00CZ,E08000034,Kirklees,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,15196
9a,2019-20,D,Yorkshire and the Humber,00CZ,E08000034,Kirklees,Number,EDD_WITHIN_14_DAYS_25to64,9612
9a,2019-20,D,Yorkshire and the Humber,00DA,E08000035,Leeds,Number,EDD_IN_15_TO_21_DAYS_25to64,2401
9a,2019-20,D,Yorkshire and the Humber,00DA,E08000035,Leeds,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,32222
9a,2019-20,D,Yorkshire and the Humber,00DA,E08000035,Leeds,Number,EDD_WITHIN_14_DAYS_25to64,13404
9a,2019-20,D,Yorkshire and the Humber,00FC,E06000012,North East Lincolnshire,Number,EDD_IN_15_TO_21_DAYS_25to64,616
9a,2019-20,D,Yorkshire and the Humber,00FC,E06000012,North East Lincolnshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3474
9a,2019-20,D,Yorkshire and the Humber,00FC,E06000012,North East Lincolnshire,Number,EDD_WITHIN_14_DAYS_25to64,4470
9a,2019-20,D,Yorkshire and the Humber,00FD,E06000013,North Lincolnshire,Number,EDD_IN_15_TO_21_DAYS_25to64,641
9a,2019-20,D,Yorkshire and the Humber,00FD,E06000013,North Lincolnshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3540
9a,2019-20,D,Yorkshire and the Humber,00FD,E06000013,North Lincolnshire,Number,EDD_WITHIN_14_DAYS_25to64,4926
9a,2019-20,D,Yorkshire and the Humber,36,E10000023,North Yorkshire,Number,EDD_IN_15_TO_21_DAYS_25to64,1694
9a,2019-20,D,Yorkshire and the Humber,36,E10000023,North Yorkshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,11192
9a,2019-20,D,Yorkshire and the Humber,36,E10000023,North Yorkshire,Number,EDD_WITHIN_14_DAYS_25to64,21180
9a,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,Number,EDD_IN_15_TO_21_DAYS_25to64,504
9a,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,390
9a,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,Number,EDD_WITHIN_14_DAYS_25to64,13771
9a,2019-20,D,Yorkshire and the Humber,00CG,E08000019,Sheffield,Number,EDD_IN_15_TO_21_DAYS_25to64,1225
9a,2019-20,D,Yorkshire and the Humber,00CG,E08000019,Sheffield,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,576
9a,2019-20,D,Yorkshire and the Humber,00CG,E08000019,Sheffield,Number,EDD_WITHIN_14_DAYS_25to64,29039
9a,2019-20,D,Yorkshire and the Humber,00DB,E08000036,Wakefield,Number,EDD_IN_15_TO_21_DAYS_25to64,349
9a,2019-20,D,Yorkshire and the Humber,00DB,E08000036,Wakefield,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,12930
9a,2019-20,D,Yorkshire and the Humber,00DB,E08000036,Wakefield,Number,EDD_WITHIN_14_DAYS_25to64,7506
9a,2019-20,D,Yorkshire and the Humber,00FF,E06000014,York,Number,EDD_IN_15_TO_21_DAYS_25to64,171
9a,2019-20,D,Yorkshire and the Humber,00FF,E06000014,York,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2441
9a,2019-20,D,Yorkshire and the Humber,00FF,E06000014,York,Number,EDD_WITHIN_14_DAYS_25to64,8668
9a,2019-20,E,East Midlands,00FK,E06000015,Derby,Number,EDD_IN_15_TO_21_DAYS_25to64,6722
9a,2019-20,E,East Midlands,00FK,E06000015,Derby,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,6110
9a,2019-20,E,East Midlands,00FK,E06000015,Derby,Number,EDD_WITHIN_14_DAYS_25to64,1751
9a,2019-20,E,East Midlands,17,E10000007,Derbyshire,Number,EDD_IN_15_TO_21_DAYS_25to64,19392
9a,2019-20,E,East Midlands,17,E10000007,Derbyshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,19874
9a,2019-20,E,East Midlands,17,E10000007,Derbyshire,Number,EDD_WITHIN_14_DAYS_25to64,5153
9a,2019-20,E,East Midlands,00FN,E06000016,Leicester,Number,EDD_IN_15_TO_21_DAYS_25to64,4237
9a,2019-20,E,East Midlands,00FN,E06000016,Leicester,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,16219
9a,2019-20,E,East Midlands,00FN,E06000016,Leicester,Number,EDD_WITHIN_14_DAYS_25to64,1283
9a,2019-20,E,East Midlands,31,E10000018,Leicestershire,Number,EDD_IN_15_TO_21_DAYS_25to64,7632
9a,2019-20,E,East Midlands,31,E10000018,Leicestershire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,31246
9a,2019-20,E,East Midlands,31,E10000018,Leicestershire,Number,EDD_WITHIN_14_DAYS_25to64,2577
9a,2019-20,E,East Midlands,32,E10000019,Lincolnshire,Number,EDD_IN_15_TO_21_DAYS_25to64,15713
9a,2019-20,E,East Midlands,32,E10000019,Lincolnshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,18511
9a,2019-20,E,East Midlands,32,E10000019,Lincolnshire,Number,EDD_WITHIN_14_DAYS_25to64,5348
9a,2019-20,E,East Midlands,34,E10000021,Northamptonshire,Number,EDD_IN_15_TO_21_DAYS_25to64,8989
9a,2019-20,E,East Midlands,34,E10000021,Northamptonshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,33365
9a,2019-20,E,East Midlands,34,E10000021,Northamptonshire,Number,EDD_WITHIN_14_DAYS_25to64,3253
9a,2019-20,E,East Midlands,00FY,E06000018,Nottingham,Number,EDD_IN_15_TO_21_DAYS_25to64,7473
9a,2019-20,E,East Midlands,00FY,E06000018,Nottingham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,8770
9a,2019-20,E,East Midlands,00FY,E06000018,Nottingham,Number,EDD_WITHIN_14_DAYS_25to64,1263
9a,2019-20,E,East Midlands,37,E10000024,Nottinghamshire,Number,EDD_IN_15_TO_21_DAYS_25to64,18270
9a,2019-20,E,East Midlands,37,E10000024,Nottinghamshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,23317
9a,2019-20,E,East Midlands,37,E10000024,Nottinghamshire,Number,EDD_WITHIN_14_DAYS_25to64,5850
9a,2019-20,E,East Midlands,00FP,E06000017,Rutland,Number,EDD_IN_15_TO_21_DAYS_25to64,388
9a,2019-20,E,East Midlands,00FP,E06000017,Rutland,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1510
9a,2019-20,E,East Midlands,00FP,E06000017,Rutland,Number,EDD_WITHIN_14_DAYS_25to64,293
9a,2019-20,ENG,England,ENG,ENG,England,Number,EDD_IN_15_TO_21_DAYS_25to64,544477
9a,2019-20,ENG,England,ENG,ENG,England,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1307801
9a,2019-20,ENG,England,ENG,ENG,England,Number,EDD_WITHIN_14_DAYS_25to64,1454461
9a,2019-20,F,West Midlands,00CN,E08000025,Birmingham,Number,EDD_IN_15_TO_21_DAYS_25to64,5340
9a,2019-20,F,West Midlands,00CN,E08000025,Birmingham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,58996
9a,2019-20,F,West Midlands,00CN,E08000025,Birmingham,Number,EDD_WITHIN_14_DAYS_25to64,1539
9a,2019-20,F,West Midlands,00CQ,E08000026,Coventry,Number,EDD_IN_15_TO_21_DAYS_25to64,2469
9a,2019-20,F,West Midlands,00CQ,E08000026,Coventry,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,15438
9a,2019-20,F,West Midlands,00CQ,E08000026,Coventry,Number,EDD_WITHIN_14_DAYS_25to64,3449
9a,2019-20,F,West Midlands,00CR,E08000027,Dudley,Number,EDD_IN_15_TO_21_DAYS_25to64,4542
9a,2019-20,F,West Midlands,00CR,E08000027,Dudley,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,8623
9a,2019-20,F,West Midlands,00CR,E08000027,Dudley,Number,EDD_WITHIN_14_DAYS_25to64,3042
9a,2019-20,F,West Midlands,00GA,E06000019,Herefordshire,Number,EDD_IN_15_TO_21_DAYS_25to64,817
9a,2019-20,F,West Midlands,00GA,E06000019,Herefordshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2433
9a,2019-20,F,West Midlands,00GA,E06000019,Herefordshire,Number,EDD_WITHIN_14_DAYS_25to64,5687
9a,2019-20,F,West Midlands,00CS,E08000028,Sandwell,Number,EDD_IN_15_TO_21_DAYS_25to64,4467
