Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Unit,Indicator,Value
21,2019-20,ENG,England,%,All_referrals_<=2wks_All_Ages,36.12649624405550000000
21,2019-20,ENG,England,%,All_referrals_<=4wks_All_Ages,60.71579584784120000000
21,2019-20,ENG,England,%,All_referrals_<=8wks_All_Ages,96.96653320317600000000
21,2019-20,ENG,England,%,All_referrals_<=12wks_All_Ages,98.90636500785640000000
21,2019-20,ENG,England,%,Mod_sev_<=2wks_All_Ages,93.73969280517380000000
21,2019-20,ENG,England,%,Mod_sev_<=4wks_All_Ages,98.92320129345190000000
21,2019-20,ENG,England,%,Mod_sev_<=8wks_All_Ages,99.91592562651580000000
21,2019-20,ENG,England,%,Mod_sev_<=12wks_All_Ages,99.96119644300730000000
21,2019-20,ENG,England,%,Severe_Inv_<=2wks_All_Ages,97.44136460554370000000
21,2019-20,ENG,England,%,Severe_Inv_<=4wks_All_Ages,99.78678038379530000000
21,2019-20,ENG,England,%,Severe_Inv_<=8wks_All_Ages,99.78678038379530000000
21,2019-20,ENG,England,%,Severe_Inv_<=12wks_All_Ages,99.78678038379530000000
21,2019-20,ENG,England,%,Gland_neo_<=2wks_All_Ages,97.09618874773140000000
21,2019-20,ENG,England,%,Gland_neo_<=4wks_All_Ages,99.54627949183300000000
21,2019-20,ENG,England,%,Gland_neo_<=8wks_All_Ages,100.00000000000000000000
21,2019-20,ENG,England,%,Gland_neo_<=12wks_All_Ages,100.00000000000000000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,All_referrals_<=2wks_All_Ages,43.18922282827540000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,All_referrals_<=4wks_All_Ages,68.62027309001720000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,All_referrals_<=8wks_All_Ages,99.07749752901120000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,All_referrals_<=12wks_All_Ages,99.72544569315810000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Mod_sev_<=2wks_All_Ages,96.44026186579380000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Mod_sev_<=4wks_All_Ages,99.18166939443540000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Mod_sev_<=8wks_All_Ages,99.81587561374800000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Mod_sev_<=12wks_All_Ages,99.87725040916530000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Severe_Inv_<=2wks_All_Ages,98.57142857142860000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Severe_Inv_<=4wks_All_Ages,100.00000000000000000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Severe_Inv_<=8wks_All_Ages,100.00000000000000000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Severe_Inv_<=12wks_All_Ages,100.00000000000000000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Gland_neo_<=2wks_All_Ages,98.91891891891890000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Gland_neo_<=4wks_All_Ages,100.00000000000000000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Gland_neo_<=8wks_All_Ages,100.00000000000000000000
21,2019-20,NEYH,"North East, Yorkshire and the Humber",%,Gland_neo_<=12wks_All_Ages,100.00000000000000000000
21,2019-20,R1,North East,%,All_referrals_<=2wks_All_Ages,34.79452054794520000000
21,2019-20,R1,North East,%,All_referrals_<=4wks_All_Ages,54.63966646813580000000
21,2019-20,R1,North East,%,All_referrals_<=8wks_All_Ages,99.36867182846930000000
21,2019-20,R1,North East,%,All_referrals_<=12wks_All_Ages,99.86896962477670000000
21,2019-20,R1,North East,%,Mod_sev_<=2wks_All_Ages,96.43652561247220000000
21,2019-20,R1,North East,%,Mod_sev_<=4wks_All_Ages,99.61024498886410000000
21,2019-20,R1,North East,%,Mod_sev_<=8wks_All_Ages,99.88864142538980000000
21,2019-20,R1,North East,%,Mod_sev_<=12wks_All_Ages,100.00000000000000000000
21,2019-20,R1,North East,%,Severe_Inv_<=2wks_All_Ages,100.00000000000000000000
21,2019-20,R1,North East,%,Severe_Inv_<=4wks_All_Ages,100.00000000000000000000
21,2019-20,R1,North East,%,Severe_Inv_<=8wks_All_Ages,100.00000000000000000000
21,2019-20,R1,North East,%,Severe_Inv_<=12wks_All_Ages,100.00000000000000000000
21,2019-20,R1,North East,%,Gland_neo_<=2wks_All_Ages,98.59154929577470000000
21,2019-20,R1,North East,%,Gland_neo_<=4wks_All_Ages,100.00000000000000000000
21,2019-20,R1,North East,%,Gland_neo_<=8wks_All_Ages,100.00000000000000000000
21,2019-20,R1,North East,%,Gland_neo_<=12wks_All_Ages,100.00000000000000000000
21,2019-20,R10,South West,%,All_referrals_<=2wks_All_Ages,36.00153639331670000000
21,2019-20,R10,South West,%,All_referrals_<=4wks_All_Ages,64.96255041290570000000
21,2019-20,R10,South West,%,All_referrals_<=8wks_All_Ages,98.91300172844250000000
21,2019-20,R10,South West,%,All_referrals_<=12wks_All_Ages,99.72729018628770000000
21,2019-20,R10,South West,%,Mod_sev_<=2wks_All_Ages,95.06628993697020000000
21,2019-20,R10,South West,%,Mod_sev_<=4wks_All_Ages,99.30449902195170000000
21,2019-20,R10,South West,%,Mod_sev_<=8wks_All_Ages,99.95653118887200000000
21,2019-20,R10,South West,%,Mod_sev_<=12wks_All_Ages,99.97826559443600000000
21,2019-20,R10,South West,%,Severe_Inv_<=2wks_All_Ages,96.38554216867470000000
21,2019-20,R10,South West,%,Severe_Inv_<=4wks_All_Ages,100.00000000000000000000
21,2019-20,R10,South West,%,Severe_Inv_<=8wks_All_Ages,100.00000000000000000000
