Table_ref,Collection_Year,Unit,Indicator,Value
3,2019-20,Number,Tested_5to10yrs_20to24,500
3,2019-20,Number,Tested_5to10yrs_25to29,5874
3,2019-20,Number,Tested_5to10yrs_30to34,137389
3,2019-20,Number,Tested_5to10yrs_35to39,174874
3,2019-20,Number,Tested_5to10yrs_40to44,150121
3,2019-20,Number,Tested_5to10yrs_45to49,153812
3,2019-20,Number,Tested_5to10yrs_50to54,179172
3,2019-20,Number,Tested_5to10yrs_55to59,249766
3,2019-20,Number,Tested_5to10yrs_60to64,195717
3,2019-20,Number,Tested_5to10yrs_65to69,456380
3,2019-20,Number,Tested_5to10yrs_70to74,482681
3,2019-20,Number,Tested_5to10yrs_75to79,32883
3,2019-20,Number,Tested_5to10yrs_<20,1
3,2019-20,Number,Tested_5to10yrs_>=80,7377
3,2019-20,Number,Tested_<1.5yrs_20to24,33149
3,2019-20,Number,Tested_<1.5yrs_25to29,801460
3,2019-20,Number,Tested_<1.5yrs_30to34,770177
3,2019-20,Number,Tested_<1.5yrs_35to39,762782
3,2019-20,Number,Tested_<1.5yrs_40to44,672751
3,2019-20,Number,Tested_<1.5yrs_45to49,675973
3,2019-20,Number,Tested_<1.5yrs_50to54,553609
3,2019-20,Number,Tested_<1.5yrs_55to59,407633
3,2019-20,Number,Tested_<1.5yrs_60to64,300190
3,2019-20,Number,Tested_<1.5yrs_65to69,38189
3,2019-20,Number,Tested_<1.5yrs_70to74,1949
3,2019-20,Number,Tested_<1.5yrs_75to79,426
3,2019-20,Number,Tested_<1.5yrs_<20,86
3,2019-20,Number,Tested_<1.5yrs_>=80,144
