Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit,Indicator,Value
16a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,Number,Total_samples_All_Ages,138418
16a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,0-2_Weeks_All_Ages,99.9682122267335000000
16a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,3-4_Weeks_All_Ages,0.0317877732664827000
16a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,5-6_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R6,East of England,60610,Bedford Hospital,Number,Total_samples_All_Ages,25514
16a,2019-20,R6,East of England,60610,Bedford Hospital,%,0-2_Weeks_All_Ages,23.4459512424551000000
16a,2019-20,R6,East of England,60610,Bedford Hospital,%,3-4_Weeks_All_Ages,76.0876381594419000000
16a,2019-20,R6,East of England,60610,Bedford Hospital,%,5-6_Weeks_All_Ages,0.4664105981030020000
16a,2019-20,R6,East of England,60610,Bedford Hospital,%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R6,East of England,60610,Bedford Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R6,East of England,60610,Bedford Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R6,East of England,60750,Watford General Hospital,Number,Total_samples_All_Ages,19698
16a,2019-20,R6,East of England,60750,Watford General Hospital,%,0-2_Weeks_All_Ages,0.0863031779876130000
16a,2019-20,R6,East of England,60750,Watford General Hospital,%,3-4_Weeks_All_Ages,9.8131790029444600000
16a,2019-20,R6,East of England,60750,Watford General Hospital,%,5-6_Weeks_All_Ages,11.6813889734998000000
16a,2019-20,R6,East of England,60750,Watford General Hospital,%,7-8_Weeks_All_Ages,15.1132094628896000000
16a,2019-20,R6,East of England,60750,Watford General Hospital,%,9-10_Weeks_All_Ages,0.5127424103969950000
16a,2019-20,R6,East of England,60750,Watford General Hospital,%,Over10_Weeks_All_Ages,62.7931769722815000000
16a,2019-20,R6,East of England,60865,Pathology First,Number,Total_samples_All_Ages,23916
16a,2019-20,R6,East of England,60865,Pathology First,%,0-2_Weeks_All_Ages,4.7039638735574500000
16a,2019-20,R6,East of England,60865,Pathology First,%,3-4_Weeks_All_Ages,11.7536377320622000000
16a,2019-20,R6,East of England,60865,Pathology First,%,5-6_Weeks_All_Ages,13.3007191838100000000
16a,2019-20,R6,East of England,60865,Pathology First,%,7-8_Weeks_All_Ages,12.3808329152032000000
16a,2019-20,R6,East of England,60865,Pathology First,%,9-10_Weeks_All_Ages,23.3442047165078000000
16a,2019-20,R6,East of England,60865,Pathology First,%,Over10_Weeks_All_Ages,34.5166415788593000000
16a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),Number,Total_samples_All_Ages,50806
16a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,0-2_Weeks_All_Ages,92.1721843876708000000
16a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,3-4_Weeks_All_Ages,7.7943549974412500000
16a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,5-6_Weeks_All_Ages,0.0236192575680038000
16a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,9-10_Weeks_All_Ages,0.0039365429280006300
16a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,Over10_Weeks_All_Ages,0.0059048143920009500
16a,2019-20,R7,London,60745,St Mary's Hospital,Number,Total_samples_All_Ages,42333
16a,2019-20,R7,London,60745,St Mary's Hospital,%,0-2_Weeks_All_Ages,99.6055087047930000000
16a,2019-20,R7,London,60745,St Mary's Hospital,%,3-4_Weeks_All_Ages,0.3921290718824560000
16a,2019-20,R7,London,60745,St Mary's Hospital,%,5-6_Weeks_All_Ages,0.0023622233245931100
